,SE1,SE2,SE3,SE4,DK1,DK2,EE,LV,LT
29/12/2015,7519,32051,26717,25600,65314,17774,651,98,1419
30/12/2015,8697,34372,26819,23625,59997,16932,1277,286,2072
31/12/2015,9020,28009,22642,19970,51890,13839,1241,323,1771
01/01/2016,8894,27436,10092,5341,13265,1542,1037,221,1533
02/01/2016,3302,9028,19171,23860,65571,17460,568,154,283
03/01/2016,1995,5179,8612,18055,72334,18420,1221,45,328
04/01/2016,4335,16691,9352,15906,64400,16179,337,51,250
05/01/2016,3530,9272,10846,11669,50214,11896,178,70,465
06/01/2016,1078,2433,9001,13190,33376,8778,494,38,1045
07/01/2016,1162,4365,11344,15156,52316,14033,410,106,1265
08/01/2016,4647,7642,16485,17794,37355,12826,1155,226,96
09/01/2016,1606,2063,14214,6522,19486,3987,648,22,1262
10/01/2016,207,11635,24223,18084,40932,9883,604,214,1723
11/01/2016,3535,18965,5271,3882,12909,2232,1935,263,441
12/01/2016,4756,16158,7411,3063,21187,2583,1271,22,2625
13/01/2016,5345,16264,14704,8622,12790,3362,1730,346,2358
14/01/2016,8827,19182,10069,5256,19330,2884,1586,324,792
15/01/2016,7732,25027,6998,4445,10424,3256,1931,26,832
16/01/2016,8319,28504,11487,2534,8271,272,282,44,1053
17/01/2016,2272,21567,18429,5491,6268,2420,1109,207,1755
18/01/2016,993,5483,19055,9994,23374,3106,1592,482,2537
19/01/2016,510,2235,5083,12546,23835,11396,733,205,2585
20/01/2016,856,1709,6811,5120,4348,1753,268,197,233
21/01/2016,1862,5001,3988,4434,8430,1665,314,22,140
22/01/2016,4608,12322,11728,3986,28545,6465,324,20,1233
23/01/2016,1317,10997,13342,5303,15097,2916,1498,198,1175
24/01/2016,1162,12389,12260,5677,28100,6279,1419,192,472
25/01/2016,2524,11267,11094,4459,33779,8585,93,45,3318
26/01/2016,4223,20420,33463,20895,62647,15438,2698,591,4926
27/01/2016,3368,18634,32815,27650,71473,19875,2999,832,5611
28/01/2016,3196,20393,37662,28156,66110,18563,4215,887,4877
29/01/2016,6460,32065,39400,27544,72917,19655,4316,831,5421
30/01/2016,7518,33666,37084,23082,59512,15919,4598,887,4104
31/01/2016,7976,17303,27333,23830,52037,16091,1441,495,2939
01/02/2016,6935,27738,26068,19244,51331,13405,1383,485,5766
02/02/2016,1033,4170,36509,30497,71868,21803,4629,902,4831
03/02/2016,2005,19546,20777,23180,62167,19102,1779,622,2113
04/02/2016,3185,33079,23551,16582,44191,13868,1401,259,3074
05/02/2016,2367,14808,16206,9516,26726,7684,2395,434,1764
06/02/2016,5132,24614,27892,15558,57843,13049,2366,545,3129
07/02/2016,4631,26063,30072,15831,61521,13740,3804,593,3468
08/02/2016,8289,29072,33872,24488,65312,18529,4005,667,4328
09/02/2016,2052,7546,18626,20148,35520,14383,4344,1031,2643
10/02/2016,255,2371,9904,13579,4778,9175,3713,762,755
11/02/2016,3423,22798,11724,1502,4214,606,1572,36,1753
12/02/2016,9937,35224,11882,2320,5901,458,2188,203,1060
13/02/2016,5284,13087,4163,1687,6966,2526,1692,150,606
14/02/2016,1786,2225,3631,6601,33588,11662,827,23,836
15/02/2016,5274,18304,10404,8699,22097,9854,185,50,1011
16/02/2016,7078,20777,15255,4303,13758,818,1345,136,2014
17/02/2016,5420,27520,26498,12043,40600,7796,1926,267,3594
18/02/2016,4656,16950,5633,3525,10905,1228,3163,528,195
19/02/2016,2629,10175,7884,2270,17182,1895,402,3,2235
20/02/2016,6215,32053,29081,19918,54307,15827,2148,315,3634
21/02/2016,6921,16324,20065,16799,40516,11999,2646,446,4269
22/02/2016,1377,1734,11802,20294,49300,15790,838,456,4606
23/02/2016,2717,13075,8149,14505,48189,15696,732,352,1925
24/02/2016,3672,24792,12265,11559,43264,13618,1441,227,2975
25/02/2016,3472,8242,11813,8059,18102,5569,1783,249,2778
26/02/2016,2833,7907,11153,8941,19677,4326,2040,605,1923
27/02/2016,1537,21871,10903,6915,6369,205,1427,503,245
28/02/2016,2207,12359,5848,1507,2568,77,1699,135,902
29/02/2016,4489,13856,3475,1240,1773,1209,189,40,3203
01/03/2016,2943,22123,10789,6044,41810,5188,968,278,711
02/03/2016,5841,23201,17582,12729,25255,11343,1470,130,1425
03/03/2016,1795,5589,9088,2961,10185,2844,587,113,1079
04/03/2016,1184,3390,5309,2373,13060,3742,662,189,987
05/03/2016,340,2540,7819,15095,32213,8845,142,75,2992
06/03/2016,484,1667,12321,10552,7679,1422,512,360,932
07/03/2016,399,513,8613,8277,3282,4616,1137,187,642
08/03/2016,1246,836,2585,3575,3763,2585,230,29,334
09/03/2016,365,1427,2887,3211,20426,4049,510,38,865
10/03/2016,1983,4874,2869,4535,7668,4712,101,107,789
11/03/2016,2997,6227,3119,1299,946,2102,121,121,767
12/03/2016,1968,5419,4824,1257,1472,138,415,88,813
13/03/2016,5697,16629,9576,922,6131,100,689,64,2292
14/03/2016,4688,21075,9569,3239,6893,801,1054,295,1100
15/03/2016,8525,31940,10349,5136,12078,3362,449,91,1606
16/03/2016,8254,31773,10631,3888,4128,681,2313,155,1645
17/03/2016,7761,35031,12623,7631,16219,3495,3558,218,3798
18/03/2016,8007,24724,14168,6516,7528,1451,3761,800,2984
19/03/2016,4362,6776,14233,5971,20477,4229,1137,180,139
20/03/2016,1185,4326,10280,4754,33954,3775,614,12,1534
21/03/2016,956,3563,6170,6779,46323,10855,198,99,943
22/03/2016,1979,7862,2180,2689,21891,2549,450,97,1049
23/03/2016,2157,5342,5980,3848,18823,3521,1221,160,442
24/03/2016,2072,9816,10976,3793,11277,1902,1147,137,853
25/03/2016,1527,5196,10739,6960,22360,3556,1792,234,248
26/03/2016,4333,18955,17426,8201,39191,5508,1020,36,1795
27/03/2016,7634,33486,28940,20522,46653,10886,2514,279,3037
28/03/2016,7177,28471,22813,14807,60032,13887,2330,407,2841
29/03/2016,7450,24159,20688,8944,47398,7153,2202,364,1432
30/03/2016,2762,6700,9488,6865,15025,8367,444,105,3428
31/03/2016,886,3820,8312,9162,27778,4997,231,133,3073
01/04/2016,1029,8992,14902,12034,10867,2497,439,259,1149
02/04/2016,1104,7835,16182,9935,19475,3464,1419,149,1180
03/04/2016,1502,3340,4216,4214,10525,1610,470,154,543
04/04/2016,3044,9361,7379,5815,15500,1784,469,191,2247
05/04/2016,355,2777,4512,2102,4807,1626,1137,261,3919
06/04/2016,1430,5805,18750,18742,34393,10820,3083,883,1795
07/04/2016,2318,10577,17471,23608,39052,16028,2799,534,507
08/04/2016,3273,16501,10452,14289,28606,8528,2526,576,688
09/04/2016,2026,11803,6590,4429,6536,823,459,159,2974
10/04/2016,1048,5829,2558,2787,19482,3366,424,234,2857
11/04/2016,1082,3970,3394,8826,21986,8816,754,370,1284
12/04/2016,3031,6879,4238,8988,19073,7050,547,217,717
13/04/2016,2572,5830,6027,5595,5010,2185,1136,342,1829
14/04/2016,3318,11655,7624,5473,2997,1044,2034,480,809
15/04/2016,3753,7660,17094,10133,10848,3636,494,51,2426
16/04/2016,2537,8736,6746,6308,24239,7543,1996,419,1775
17/04/2016,695,2051,11782,25813,62178,17933,1482,423,5515
18/04/2016,435,3932,31537,25694,61664,14641,2228,1069,5476
19/04/2016,7240,18352,25675,27528,72996,19460,1943,954,4828
20/04/2016,5694,23140,18037,12082,39609,10830,2119,753,3306
21/04/2016,1043,8736,16234,18917,46213,9243,1307,330,4241
22/04/2016,426,13307,20721,13659,36444,8567,403,244,636
23/04/2016,1257,5253,5673,3275,17530,3123,182,60,1335
24/04/2016,689,2245,4499,2689,11661,1824,1152,207,82
25/04/2016,5744,19897,4930,4444,11862,5283,1301,59,424
26/04/2016,3134,4505,12271,19432,37833,7214,1297,126,1122
27/04/2016,6757,16971,9967,14606,39565,2321,952,108,887
28/04/2016,2905,18029,11145,5538,11951,3448,1814,225,640
29/04/2016,4370,29292,23960,17145,35274,8047,543,192,552
30/04/2016,1130,12307,19577,12875,25396,2749,367,144,720
01/05/2016,1416,8009,5283,2244,2058,1513,325,196,536
02/05/2016,2217,11502,9505,3996,20752,2422,127,65,527
03/05/2016,968,12883,10338,8348,22180,6967,261,97,824
04/05/2016,1991,6171,5401,6950,6195,3005,599,168,1717
05/05/2016,1507,9371,8499,3382,4641,334,560,129,1396
06/05/2016,1257,4819,4696,4993,21129,6079,339,141,1337
07/05/2016,1520,5969,5318,6695,35714,9092,263,162,1278
08/05/2016,2672,5644,3897,5241,30868,8119,324,188,1247
09/05/2016,2119,4138,2705,4158,23746,7217,298,97,383
10/05/2016,2144,14219,5314,2794,14565,4570,444,40,953
11/05/2016,2398,8326,13973,10478,21083,8617,1240,225,1627
12/05/2016,5598,19524,10288,7263,13223,10999,726,314,1425
13/05/2016,1817,7907,12349,2715,19061,1816,1184,203,602
14/05/2016,1046,7104,13911,5079,30098,6696,863,27,2340
15/05/2016,2220,19197,17065,8373,36629,8796,1408,183,4842
16/05/2016,1648,10441,19788,18082,41626,15537,1017,571,1519
17/05/2016,3755,12690,4114,7167,41759,8427,988,158,321
18/05/2016,2121,1675,9850,4243,13961,1910,356,87,289
19/05/2016,1114,4281,7275,3349,2682,599,362,68,506
20/05/2016,1709,10048,10149,5784,22439,4790,262,22,1192
21/05/2016,1757,5510,9596,4492,17161,2350,821,68,114
22/05/2016,1309,8043,10578,13096,19223,8042,311,42,1664
23/05/2016,3727,13770,12537,7914,5782,1908,224,253,1281
24/05/2016,3086,15945,13828,4549,16366,4871,645,187,1016
25/05/2016,4604,17969,16914,7284,28305,1124,455,258,707
26/05/2016,4122,24478,15522,4480,7949,1296,791,203,274
27/05/2016,888,11656,10657,1218,4255,388,439,76,1672
28/05/2016,633,4599,6762,3729,7557,2327,984,240,2350
29/05/2016,712,2612,16442,8840,16314,6871,859,268,2490
30/05/2016,1179,1261,19514,21881,38315,16108,925,401,2842
31/05/2016,518,1138,13408,14665,27450,10527,1156,300,2331
01/06/2016,1275,2294,8690,10550,17562,9176,633,298,408
02/06/2016,2047,4217,8110,10448,17236,7826,311,136,425
03/06/2016,7941,23967,4708,4855,7550,3687,709,141,1278
04/06/2016,6431,18231,9608,2706,3256,435,1527,285,1996
05/06/2016,3335,7456,7870,4722,5017,1396,1289,372,1367
06/06/2016,1237,4718,7968,5093,12341,6062,1027,227,539
07/06/2016,3636,15173,13071,6316,10135,2516,720,306,2319
08/06/2016,8164,40312,17747,7056,27075,6604,2376,346,2028
09/06/2016,8811,35115,9684,4650,17644,2262,3263,233,2047
10/06/2016,5066,20379,14916,9153,27530,9270,739,306,4927
11/06/2016,610,2546,6759,4775,6520,1153,2419,682,2057
12/06/2016,822,2694,2197,2517,8050,2862,1904,245,474
13/06/2016,2106,9698,3211,8908,27790,8574,930,45,2257
14/06/2016,2285,4442,7530,13262,26635,3239,374,223,1101
15/06/2016,1655,7129,11458,5360,4096,709,1519,352,1126
16/06/2016,4218,11717,8525,1987,733,332,1236,410,3647
17/06/2016,4184,10757,5927,3798,8628,2406,1725,409,6073
18/06/2016,4585,24515,16886,20344,39499,8766,3644,1110,1199
19/06/2016,4189,21873,13908,15296,47466,7519,2677,661,464
20/06/2016,3221,13953,12743,8772,39932,4495,1102,98,894
21/06/2016,3145,10887,11381,7568,10365,3240,278,32,827
22/06/2016,3056,5310,9330,5317,7751,1598,561,81,403
23/06/2016,607,1872,4940,5279,8698,3009,545,127,1688
24/06/2016,968,2573,4823,5426,10234,1947,557,438,1303
25/06/2016,497,3322,4479,4532,7954,3696,172,82,1496
26/06/2016,1342,6194,15089,9994,27499,6758,380,197,1296
27/06/2016,4518,16812,16754,9596,34764,4449,623,193,242
28/06/2016,1209,6072,13799,4630,8750,1081,197,77,463
29/06/2016,1429,3009,4437,3981,16781,3342,151,28,452
30/06/2016,1952,9037,9754,5858,23786,3246,693,144,368
01/07/2016,3610,12290,12261,11178,27119,8347,191,90,2272
02/07/2016,6841,20022,18538,9697,39233,6193,1009,381,623
03/07/2016,5074,15330,14658,9530,33474,7981,880,71,2801
04/07/2016,1403,6390,9364,9266,18481,5257,1557,341,2563
05/07/2016,7683,17679,6926,3549,11350,2973,3154,453,1749
06/07/2016,8058,33582,10409,16529,54695,16485,2122,80,4342
07/07/2016,7367,28822,13804,17427,36250,8246,3058,473,3239
08/07/2016,4205,12868,7293,7224,12334,4320,2457,429,859
09/07/2016,1372,5092,11402,9075,25187,8371,451,73,2495
10/07/2016,631,5877,8714,7088,22373,4036,635,360,1583
11/07/2016,635,5681,12440,13474,36501,7399,625,323,2492
12/07/2016,355,2480,17065,16900,30109,8800,2307,740,625
13/07/2016,1011,2964,15362,7957,25166,1121,1544,263,2103
14/07/2016,739,6138,5320,2613,27271,4632,542,122,3269
15/07/2016,924,8895,6975,10044,41728,12838,1642,367,2229
16/07/2016,1891,7810,21240,12073,30587,6565,2529,378,1471
17/07/2016,1722,4986,20132,9037,17967,3303,1706,267,1703
18/07/2016,2263,10677,6716,6015,15409,3735,349,127,1516
19/07/2016,1278,4148,3224,2701,3775,1266,1223,200,2703
20/07/2016,932,1728,1248,1109,7503,1557,1353,206,2434
21/07/2016,1166,3119,3239,1986,12635,5098,1473,299,737
22/07/2016,850,2601,1862,1500,4385,2857,527,65,330
23/07/2016,332,2332,1452,936,1994,690,97,10,170
24/07/2016,488,1381,1408,1128,2246,1096,30,22,335
25/07/2016,627,3088,2640,1626,8682,870,0,28,454
26/07/2016,1065,8381,12031,4330,11002,1885,44,40,312
27/07/2016,1761,7002,8439,3088,14952,1432,85,39,1067
28/07/2016,1014,7799,11480,3721,6441,1359,265,67,122
29/07/2016,1312,2876,3390,2290,4041,1620,92,50,712
30/07/2016,381,3505,8878,4535,12166,3609,223,196,1093
31/07/2016,1228,5480,20012,6320,10935,856,1182,187,1288
01/08/2016,1314,5233,15907,6861,26381,4588,384,65,1407
02/08/2016,810,3634,19533,7487,8120,2048,1254,269,568
03/08/2016,777,4249,9854,9032,28666,7514,548,155,1895
04/08/2016,619,2207,13278,11158,41792,7929,2216,521,846
05/08/2016,625,1098,9292,5561,21604,4138,551,85,1024
06/08/2016,407,5286,9555,14759,47161,9180,302,139,3296
07/08/2016,1017,10819,15456,15780,39408,8302,577,211,3244
08/08/2016,6876,25951,35504,22511,59490,14098,2598,719,2883
09/08/2016,4088,15025,35155,24443,57579,13317,3927,945,1520
10/08/2016,2562,11892,21389,19933,45567,11585,2088,282,1808
11/08/2016,1723,10397,7392,10519,18931,7439,2090,341,1396
12/08/2016,2480,12672,16506,8758,27273,5187,852,215,3547
13/08/2016,2756,7960,22800,20498,50557,11286,3193,751,3492
14/08/2016,3689,15197,10879,14611,31721,6455,999,364,2341
15/08/2016,3245,22306,14072,6129,15339,3210,882,504,3887
16/08/2016,7775,25588,16191,5822,5919,1586,2361,585,2303
17/08/2016,4438,20000,18934,8475,5584,2033,2361,148,2238
18/08/2016,1066,9120,21578,11736,16189,3000,1028,111,1590
19/08/2016,2119,7211,5078,1452,2447,617,1122,272,950
20/08/2016,1750,4449,4146,4289,15340,2084,119,57,2102
21/08/2016,1469,3416,2502,1156,17327,1393,1562,203,296
22/08/2016,1616,2373,4664,4458,14974,4686,1069,37,426
23/08/2016,4153,11414,3637,3423,4859,2989,263,83,443
24/08/2016,2314,8371,5252,1864,9604,1806,491,31,413
25/08/2016,4282,14931,9064,9207,13923,6197,1032,221,3963
26/08/2016,2164,13348,20383,13319,27261,6249,1277,640,3079
27/08/2016,8298,31494,28076,7689,8771,944,3609,364,1407
28/08/2016,2401,6036,7318,7189,20793,5788,485,135,4608
29/08/2016,1953,2633,17359,16456,45879,13766,1335,701,5531
30/08/2016,2673,10388,18799,13795,25782,6203,1728,629,1221
31/08/2016,5218,16822,16894,6093,17534,1156,630,151,1936
01/09/2016,7008,17011,23406,8925,18413,2021,1787,356,2511
02/09/2016,4227,12365,17979,10477,26242,3343,1608,364,2289
03/09/2016,1530,6509,16571,12295,23232,4792,933,375,1142
04/09/2016,1976,14582,10986,3323,9968,2086,1282,170,1055
05/09/2016,3953,8555,7458,5494,6826,3789,406,125,782
06/09/2016,2841,15373,25704,6532,23067,2003,1321,127,4846
07/09/2016,8245,32216,23512,9237,11028,1552,3168,780,1046
08/09/2016,3025,11184,4204,2690,10830,1905,1115,78,459
09/09/2016,3995,13796,8993,3562,9371,2042,30,64,147
10/09/2016,652,4103,11328,1926,18583,2108,503,7,119
11/09/2016,3984,20269,23296,9207,22398,3392,591,127,528
12/09/2016,7554,10542,5817,1953,10224,3316,939,47,844
13/09/2016,610,2824,3606,3565,13567,3754,605,45,544
14/09/2016,3372,9611,1922,1672,13255,4368,355,37,272
15/09/2016,3875,7762,3603,1174,12586,2483,676,30,923
16/09/2016,1426,6467,11554,8720,19520,7608,1399,120,2152
17/09/2016,2529,4145,4946,9903,15190,11295,261,102,877
18/09/2016,1603,2304,655,6378,6606,7130,187,46,235
19/09/2016,697,2512,1495,2143,1273,1529,313,40,1213
20/09/2016,298,2875,3102,4512,2852,1585,888,81,2176
21/09/2016,71,431,945,2281,2912,1432,768,210,1255
22/09/2016,242,1048,749,450,7433,1249,878,112,971
23/09/2016,325,3352,5589,4904,16379,2196,1148,75,1153
24/09/2016,586,4109,9073,7279,13813,1974,557,10,217
25/09/2016,2424,9044,14128,6755,29346,5039,607,16,627
26/09/2016,1623,10270,9065,6878,5141,1748,275,57,454
27/09/2016,2786,15868,11792,5541,24287,1410,164,101,5998
28/09/2016,7972,27736,33767,25310,60431,16489,2823,650,5422
29/09/2016,5287,22859,36472,25702,65854,15516,2694,826,7536
30/09/2016,9139,32668,40149,24948,44732,12731,4599,1153,2952
01/10/2016,8514,31672,18086,8575,8033,2888,3372,635,1882
02/10/2016,6943,17844,10772,5564,11209,988,327,123,2076
03/10/2016,4531,11733,15146,18487,33935,7420,1511,422,5683
04/10/2016,2545,5787,19926,17315,25324,10534,3912,784,7494
05/10/2016,5628,8123,23281,22819,35195,11920,4648,1136,6179
06/10/2016,3757,12898,29232,26369,42491,13624,3826,878,2580
07/10/2016,1033,11164,28925,18800,32362,9724,4006,613,2357
08/10/2016,816,13966,28096,18554,30755,9061,3996,477,2814
09/10/2016,536,11242,29146,16341,29980,3422,2877,323,2966
10/10/2016,492,3223,26593,16837,28843,5571,2977,399,4330
11/10/2016,445,759,14252,17772,37702,14202,734,334,3730
12/10/2016,1303,1032,6744,14772,33893,10808,111,205,2169
13/10/2016,728,248,4927,14948,36608,10498,125,101,1624
14/10/2016,256,1052,14294,22830,58236,15729,70,131,5748
15/10/2016,4176,8212,26226,29325,62062,14901,442,529,5263
16/10/2016,2561,13734,17569,16976,29166,3622,265,366,5253
17/10/2016,1925,14578,11389,12399,31428,5423,655,440,4362
18/10/2016,4747,14555,5705,3102,17403,2442,1331,301,3529
19/10/2016,1793,3628,8086,7640,20151,2551,1313,282,4280
20/10/2016,49,3322,17323,10539,29947,4139,1323,299,6079
21/10/2016,595,5175,24181,19397,41787,5521,1692,474,6519
22/10/2016,1547,8054,31949,18251,40698,3685,3056,662,3645
23/10/2016,1715,9392,26594,7413,23042,1211,3062,512,5972
24/10/2016,2609,5328,15851,7243,11851,1465,1904,522,1217
25/10/2016,1082,924,5225,4624,3577,783,953,57,1309
26/10/2016,915,3364,15183,5269,21081,2003,656,95,3708
27/10/2016,4572,13625,28018,13760,31677,7394,3471,764,8621
28/10/2016,3835,20635,35021,29361,60679,16968,4447,1152,7424
29/10/2016,196,1364,1542,1285,53800,17305,4074,891,497
30/10/2016,,,,,1310,570,340,66,
